instance_id,task,condition,style,gold,model,model_family,is_think,predicted,parsed,exact,primary,absolute_error,non_terminating,non_terminating_source,n_new_tokens,wording,has_marker,shortcut_score,response_len_chars,failure_type,length_outlier
node_count/12,node_count,all,zero_shot, 12.,gemma4-12b-think,gemma4-12b,True,12,True,1.0,1.0,0.0,False,ground_truth_file,,unaffected,False,1.0,2827,correct,False
node_count/13,node_count,clustering,zero_shot, 17.,gemma4-12b-think,gemma4-12b,True,17,True,1.0,1.0,0.0,False,ground_truth_file,,unaffected,False,1.0,2637,correct,False
node_count/13,node_count,none,zero_shot, 17.,gemma4-12b-think,gemma4-12b,True,17,True,1.0,1.0,0.0,False,ground_truth_file,,unaffected,False,0.064,2648,correct,False
node_count/14,node_count,components,zero_shot, 9.,gemma4-12b-think,gemma4-12b,True,9,True,1.0,1.0,0.0,False,ground_truth_file,,unaffected,False,0.076,1234,correct,False
node_count/14,node_count,rwse,zero_shot, 9.,gemma4-12b-think,gemma4-12b,True,9,True,1.0,1.0,0.0,False,ground_truth_file,,unaffected,True,1.0,2133,correct,False
node_count/15,node_count,degree,zero_shot, 13.,gemma4-12b-think,gemma4-12b,True,13,True,1.0,1.0,0.0,False,ground_truth_file,,unaffected,False,1.0,3504,correct,False
node_count/16,node_count,all,zero_shot, 18.,gemma4-12b-think,gemma4-12b,True,18,True,1.0,1.0,0.0,False,ground_truth_file,,unaffected,False,1.0,3665,correct,False
node_count/17,node_count,clustering,zero_shot, 17.,gemma4-12b-think,gemma4-12b,True,17,True,1.0,1.0,0.0,False,ground_truth_file,,unaffected,False,1.0,2659,correct,False
node_count/17,node_count,none,zero_shot, 17.,gemma4-12b-think,gemma4-12b,True,17,True,1.0,1.0,0.0,False,ground_truth_file,,unaffected,False,0.064,3969,correct,False
node_count/18,node_count,components,zero_shot, 14.,gemma4-12b-think,gemma4-12b,True,14,True,1.0,1.0,0.0,False,ground_truth_file,,unaffected,False,0.076,1211,correct,False
node_count/18,node_count,rwse,zero_shot, 14.,gemma4-12b-think,gemma4-12b,True,14,True,1.0,1.0,0.0,False,ground_truth_file,,unaffected,False,1.0,1331,correct,False
node_count/19,node_count,degree,zero_shot, 19.,gemma4-12b-think,gemma4-12b,True,19,True,1.0,1.0,0.0,False,ground_truth_file,,unaffected,False,1.0,2709,correct,False
node_count/20,node_count,all,zero_shot, 14.,gemma4-12b-think,gemma4-12b,True,14,True,1.0,1.0,0.0,False,ground_truth_file,,unaffected,False,1.0,2225,correct,False
node_count/21,node_count,clustering,zero_shot, 16.,gemma4-12b-think,gemma4-12b,True,16,True,1.0,1.0,0.0,False,ground_truth_file,,unaffected,False,1.0,1212,correct,False
node_count/21,node_count,none,zero_shot, 16.,gemma4-12b-think,gemma4-12b,True,16,True,1.0,1.0,0.0,False,ground_truth_file,,unaffected,False,0.064,1378,correct,False
node_count/22,node_count,components,zero_shot, 14.,gemma4-12b-think,gemma4-12b,True,14,True,1.0,1.0,0.0,False,ground_truth_file,,unaffected,False,0.076,2620,correct,False
node_count/22,node_count,rwse,zero_shot, 14.,gemma4-12b-think,gemma4-12b,True,14,True,1.0,1.0,0.0,False,ground_truth_file,,unaffected,False,1.0,2097,correct,False
node_count/23,node_count,degree,zero_shot, 16.,gemma4-12b-think,gemma4-12b,True,16,True,1.0,1.0,0.0,False,ground_truth_file,,unaffected,False,1.0,6815,correct,False
node_count/24,node_count,all,zero_shot, 10.,gemma4-12b-think,gemma4-12b,True,10,True,1.0,1.0,0.0,False,ground_truth_file,,unaffected,False,1.0,1237,correct,False
node_count/25,node_count,clustering,zero_shot, 7.,gemma4-12b-think,gemma4-12b,True,7,True,1.0,1.0,0.0,False,ground_truth_file,,unaffected,False,1.0,3021,correct,False
node_count/25,node_count,none,zero_shot, 7.,gemma4-12b-think,gemma4-12b,True,7,True,1.0,1.0,0.0,False,ground_truth_file,,unaffected,False,0.064,1825,correct,False
node_count/26,node_count,components,zero_shot, 13.,gemma4-12b-think,gemma4-12b,True,13,True,1.0,1.0,0.0,False,ground_truth_file,,unaffected,False,0.076,2485,correct,False
node_count/26,node_count,rwse,zero_shot, 13.,gemma4-12b-think,gemma4-12b,True,13,True,1.0,1.0,0.0,False,ground_truth_file,,unaffected,False,1.0,988,correct,False
node_count/27,node_count,degree,zero_shot, 7.,gemma4-12b-think,gemma4-12b,True,7,True,1.0,1.0,0.0,False,ground_truth_file,,unaffected,False,1.0,2843,correct,False
node_count/28,node_count,all,zero_shot, 19.,gemma4-12b-think,gemma4-12b,True,19,True,1.0,1.0,0.0,False,ground_truth_file,,unaffected,False,1.0,1447,correct,False
node_count/29,node_count,clustering,zero_shot, 12.,gemma4-12b-think,gemma4-12b,True,12,True,1.0,1.0,0.0,False,ground_truth_file,,unaffected,True,1.0,1226,correct,False
node_count/29,node_count,none,zero_shot, 12.,gemma4-12b-think,gemma4-12b,True,12,True,1.0,1.0,0.0,False,ground_truth_file,,unaffected,False,0.064,3014,correct,False
edge_count/0,edge_count,components,zero_shot, 115.,gemma4-12b-think,gemma4-12b,True,5,True,0.0,0.0,110.0,True,ground_truth_file,,unaffected,False,0.018,11099,non_terminating,False
edge_count/0,edge_count,rwse,zero_shot, 115.,gemma4-12b-think,gemma4-12b,True,7,True,0.0,0.0,108.0,True,ground_truth_file,,unaffected,False,0.018,12376,non_terminating,False
edge_count/1,edge_count,degree,zero_shot, 14.,gemma4-12b-think,gemma4-12b,True,14,True,1.0,1.0,0.0,False,ground_truth_file,,unaffected,False,1.0,7854,correct,False
edge_count/2,edge_count,all,zero_shot, 2.,gemma4-12b-think,gemma4-12b,True,2,True,1.0,1.0,0.0,False,ground_truth_file,,unaffected,False,1.0,1825,correct,False
edge_count/3,edge_count,clustering,zero_shot, 32.,gemma4-12b-think,gemma4-12b,True,5,True,0.0,0.0,27.0,True,ground_truth_file,,unaffected,False,0.148,15052,non_terminating,False
edge_count/3,edge_count,none,zero_shot, 32.,gemma4-12b-think,gemma4-12b,True,5,True,0.0,0.0,27.0,True,ground_truth_file,,unaffected,False,0.018,14648,non_terminating,False
edge_count/4,edge_count,components,zero_shot, 11.,gemma4-12b-think,gemma4-12b,True,1,True,0.0,0.0,10.0,True,ground_truth_file,,unaffected,False,0.018,19657,non_terminating,False
edge_count/4,edge_count,rwse,zero_shot, 11.,gemma4-12b-think,gemma4-12b,True,1,True,0.0,0.0,10.0,True,ground_truth_file,,unaffected,False,0.018,18736,non_terminating,False
edge_count/5,edge_count,degree,zero_shot, 91.,gemma4-12b-think,gemma4-12b,True,15,True,0.0,0.0,76.0,True,ground_truth_file,,unaffected,False,1.0,13289,non_terminating,False
edge_count/6,edge_count,all,zero_shot, 37.,gemma4-12b-think,gemma4-12b,True,11,True,0.0,0.0,26.0,True,ground_truth_file,,unaffected,False,1.0,12963,non_terminating,False
edge_count/7,edge_count,clustering,zero_shot, 25.,gemma4-12b-think,gemma4-12b,True,7,True,0.0,0.0,18.0,True,ground_truth_file,,unaffected,False,0.148,15184,non_terminating,False
edge_count/7,edge_count,none,zero_shot, 25.,gemma4-12b-think,gemma4-12b,True,7,True,0.0,0.0,18.0,True,ground_truth_file,,unaffected,False,0.018,14054,non_terminating,False
edge_count/8,edge_count,components,zero_shot, 32.,gemma4-12b-think,gemma4-12b,True,11,True,0.0,0.0,21.0,True,ground_truth_file,,unaffected,False,0.018,12735,non_terminating,False
edge_count/8,edge_count,rwse,zero_shot, 32.,gemma4-12b-think,gemma4-12b,True,0,True,0.0,0.0,32.0,True,ground_truth_file,,unaffected,False,0.018,12960,non_terminating,False
edge_count/9,edge_count,degree,zero_shot, 7.,gemma4-12b-think,gemma4-12b,True,7,True,1.0,1.0,0.0,False,ground_truth_file,,unaffected,False,1.0,2232,correct,False
edge_count/10,edge_count,all,zero_shot, 36.,gemma4-12b-think,gemma4-12b,True,36,True,1.0,1.0,0.0,False,ground_truth_file,,unaffected,False,1.0,6084,correct,False
edge_count/11,edge_count,clustering,zero_shot, 8.,gemma4-12b-think,gemma4-12b,True,8,True,1.0,1.0,0.0,False,ground_truth_file,,unaffected,False,0.148,5832,correct,False
edge_count/11,edge_count,none,zero_shot, 8.,gemma4-12b-think,gemma4-12b,True,8,True,1.0,1.0,0.0,False,ground_truth_file,,unaffected,False,0.018,4488,correct,False
edge_count/12,edge_count,components,zero_shot, 51.,gemma4-12b-think,gemma4-12b,True,4,True,0.0,0.0,47.0,True,ground_truth_file,,unaffected,False,0.018,13622,non_terminating,False
edge_count/12,edge_count,rwse,zero_shot, 51.,gemma4-12b-think,gemma4-12b,True,10,True,0.0,0.0,41.0,True,ground_truth_file,,unaffected,False,0.018,13247,non_terminating,False
edge_count/13,edge_count,degree,zero_shot, 10.,gemma4-12b-think,gemma4-12b,True,8,True,0.0,0.0,2.0,True,ground_truth_file,,unaffected,False,1.0,15565,non_terminating,False
edge_count/14,edge_count,all,zero_shot, 3.,gemma4-12b-think,gemma4-12b,True,3,True,1.0,1.0,0.0,False,ground_truth_file,,unaffected,False,1.0,2455,correct,False
edge_count/15,edge_count,clustering,zero_shot, 29.,gemma4-12b-think,gemma4-12b,True,3,True,0.0,0.0,26.0,True,ground_truth_file,,unaffected,False,0.148,14947,non_terminating,False
edge_count/15,edge_count,none,zero_shot, 29.,gemma4-12b-think,gemma4-12b,True,5,True,0.0,0.0,24.0,True,ground_truth_file,,unaffected,False,0.018,14327,non_terminating,False
edge_count/16,edge_count,components,zero_shot, 45.,gemma4-12b-think,gemma4-12b,True,4,True,0.0,0.0,41.0,True,ground_truth_file,,unaffected,False,0.018,13683,non_terminating,False
edge_count/16,edge_count,rwse,zero_shot, 45.,gemma4-12b-think,gemma4-12b,True,1,True,0.0,0.0,44.0,True,ground_truth_file,,unaffected,False,0.018,12682,non_terminating,False
edge_count/17,edge_count,degree,zero_shot, 95.,gemma4-12b-think,gemma4-12b,True,13,True,0.0,0.0,82.0,True,ground_truth_file,,unaffected,False,1.0,13673,non_terminating,False
edge_count/18,edge_count,all,zero_shot, 65.,gemma4-12b-think,gemma4-12b,True,5,True,0.0,0.0,60.0,True,ground_truth_file,,unaffected,False,1.0,14429,non_terminating,False
edge_count/19,edge_count,clustering,zero_shot, 34.,gemma4-12b-think,gemma4-12b,True,8,True,0.0,0.0,26.0,True,ground_truth_file,,unaffected,False,0.148,12677,non_terminating,False
edge_count/19,edge_count,none,zero_shot, 34.,gemma4-12b-think,gemma4-12b,True,33,True,0.0,0.0,1.0,True,ground_truth_file,,unaffected,False,0.018,12163,non_terminating,False
edge_count/20,edge_count,components,zero_shot, 37.,gemma4-12b-think,gemma4-12b,True,2,True,0.0,0.0,35.0,True,ground_truth_file,,unaffected,False,0.018,13136,non_terminating,False
edge_count/20,edge_count,rwse,zero_shot, 37.,gemma4-12b-think,gemma4-12b,True,7,True,0.0,0.0,30.0,True,ground_truth_file,,unaffected,False,0.018,13082,non_terminating,False
edge_count/21,edge_count,degree,zero_shot, 80.,gemma4-12b-think,gemma4-12b,True,4,True,0.0,0.0,76.0,True,ground_truth_file,,unaffected,False,1.0,11970,non_terminating,False
edge_count/22,edge_count,all,zero_shot, 5.,gemma4-12b-think,gemma4-12b,True,8,True,0.0,0.0,3.0,True,ground_truth_file,,unaffected,False,1.0,18408,non_terminating,False
edge_count/23,edge_count,clustering,zero_shot, 54.,gemma4-12b-think,gemma4-12b,True,8,True,0.0,0.0,46.0,True,ground_truth_file,,unaffected,False,0.148,12168,non_terminating,False
edge_count/23,edge_count,none,zero_shot, 54.,gemma4-12b-think,gemma4-12b,True,15,True,0.0,0.0,39.0,True,ground_truth_file,,unaffected,False,0.018,12012,non_terminating,False
edge_count/24,edge_count,components,zero_shot, 32.,gemma4-12b-think,gemma4-12b,True,2,True,0.0,0.0,30.0,True,ground_truth_file,,unaffected,False,0.018,15665,non_terminating,False
edge_count/24,edge_count,rwse,zero_shot, 32.,gemma4-12b-think,gemma4-12b,True,6,True,0.0,0.0,26.0,True,ground_truth_file,,unaffected,False,0.018,13236,non_terminating,False
edge_count/25,edge_count,degree,zero_shot, 6.,gemma4-12b-think,gemma4-12b,True,6,True,1.0,1.0,0.0,False,ground_truth_file,,unaffected,False,1.0,2498,correct,False
edge_count/26,edge_count,all,zero_shot, 76.,gemma4-12b-think,gemma4-12b,True,12,True,0.0,0.0,64.0,True,ground_truth_file,,unaffected,False,1.0,11428,non_terminating,False
edge_count/27,edge_count,clustering,zero_shot, 20.,gemma4-12b-think,gemma4-12b,True,2,True,0.0,0.0,18.0,True,ground_truth_file,,unaffected,False,0.148,18695,non_terminating,False
edge_count/27,edge_count,none,zero_shot, 20.,gemma4-12b-think,gemma4-12b,True,6,True,0.0,0.0,14.0,True,ground_truth_file,,unaffected,False,0.018,16725,non_terminating,False
edge_count/28,edge_count,components,zero_shot, 35.,gemma4-12b-think,gemma4-12b,True,11,True,0.0,0.0,24.0,True,ground_truth_file,,unaffected,False,0.018,12946,non_terminating,False
edge_count/28,edge_count,rwse,zero_shot, 35.,gemma4-12b-think,gemma4-12b,True,2,True,0.0,0.0,33.0,True,ground_truth_file,,unaffected,False,0.018,13326,non_terminating,False
edge_count/29,edge_count,degree,zero_shot, 24.,gemma4-12b-think,gemma4-12b,True,1,True,0.0,0.0,23.0,True,ground_truth_file,,unaffected,False,1.0,14509,non_terminating,False
node_degree/0,node_degree,all,zero_shot,13.,gemma4-12b-think,gemma4-12b,True,13,True,1.0,1.0,0.0,False,ground_truth_file,,unaffected,False,1.0,8966,correct,True
node_degree/1,node_degree,clustering,zero_shot,1.,gemma4-12b-think,gemma4-12b,True,1,True,1.0,1.0,0.0,False,ground_truth_file,,unaffected,False,0.082,17420,correct,False
node_degree/1,node_degree,none,zero_shot,1.,gemma4-12b-think,gemma4-12b,True,1,True,1.0,1.0,0.0,False,ground_truth_file,,unaffected,False,0.082,3391,correct,False
node_degree/2,node_degree,components,zero_shot,0.,gemma4-12b-think,gemma4-12b,True,0,True,1.0,1.0,0.0,False,ground_truth_file,,unaffected,False,0.082,2059,correct,False
node_degree/2,node_degree,rwse,zero_shot,0.,gemma4-12b-think,gemma4-12b,True,0,True,1.0,1.0,0.0,False,ground_truth_file,,unaffected,False,0.616,14121,correct,False
node_degree/3,node_degree,degree,zero_shot,6.,gemma4-12b-think,gemma4-12b,True,6,True,1.0,1.0,0.0,False,ground_truth_file,,unaffected,False,1.0,1780,correct,False
node_degree/4,node_degree,all,zero_shot,4.,gemma4-12b-think,gemma4-12b,True,4,True,1.0,1.0,0.0,False,ground_truth_file,,unaffected,False,1.0,1611,correct,False
node_degree/5,node_degree,clustering,zero_shot,14.,gemma4-12b-think,gemma4-12b,True,14,True,1.0,1.0,0.0,False,ground_truth_file,,unaffected,False,0.082,7546,correct,False
node_degree/5,node_degree,none,zero_shot,14.,gemma4-12b-think,gemma4-12b,True,14,True,1.0,1.0,0.0,False,ground_truth_file,,unaffected,False,0.082,7176,correct,False
node_degree/6,node_degree,components,zero_shot,6.,gemma4-12b-think,gemma4-12b,True,6,True,1.0,1.0,0.0,False,ground_truth_file,,unaffected,False,0.082,2972,correct,False
node_degree/6,node_degree,rwse,zero_shot,6.,gemma4-12b-think,gemma4-12b,True,6,True,1.0,1.0,0.0,True,ground_truth_file,,unaffected,False,0.616,15944,non_terminating,False
node_degree/7,node_degree,degree,zero_shot,5.,gemma4-12b-think,gemma4-12b,True,5,True,1.0,1.0,0.0,False,ground_truth_file,,unaffected,False,1.0,1381,correct,False
node_degree/8,node_degree,all,zero_shot,2.,gemma4-12b-think,gemma4-12b,True,2,True,1.0,1.0,0.0,False,ground_truth_file,,unaffected,False,1.0,1994,correct,False
node_degree/9,node_degree,clustering,zero_shot,3.,gemma4-12b-think,gemma4-12b,True,3,True,1.0,1.0,0.0,False,ground_truth_file,,unaffected,False,0.082,3940,correct,False
node_degree/9,node_degree,none,zero_shot,3.,gemma4-12b-think,gemma4-12b,True,3,True,1.0,1.0,0.0,False,ground_truth_file,,unaffected,False,0.082,1144,correct,False
node_degree/10,node_degree,components,zero_shot,8.,gemma4-12b-think,gemma4-12b,True,8,True,1.0,1.0,0.0,False,ground_truth_file,,unaffected,False,0.082,1355,correct,False
node_degree/10,node_degree,rwse,zero_shot,8.,gemma4-12b-think,gemma4-12b,True,8,True,1.0,1.0,0.0,False,ground_truth_file,,unaffected,False,0.616,2268,correct,False
node_degree/11,node_degree,degree,zero_shot,3.,gemma4-12b-think,gemma4-12b,True,3,True,1.0,1.0,0.0,False,ground_truth_file,,unaffected,False,1.0,1075,correct,False
node_degree/12,node_degree,all,zero_shot,10.,gemma4-12b-think,gemma4-12b,True,10,True,1.0,1.0,0.0,False,ground_truth_file,,unaffected,False,1.0,3215,correct,False
node_degree/13,node_degree,clustering,zero_shot,2.,gemma4-12b-think,gemma4-12b,True,3,True,0.0,0.0,1.0,True,ground_truth_file,,unaffected,False,0.082,22886,non_terminating,False
node_degree/13,node_degree,none,zero_shot,2.,gemma4-12b-think,gemma4-12b,True,2,True,1.0,1.0,0.0,False,ground_truth_file,,unaffected,False,0.082,4514,correct,False
node_degree/14,node_degree,components,zero_shot,2.,gemma4-12b-think,gemma4-12b,True,2,True,1.0,1.0,0.0,False,ground_truth_file,,unaffected,False,0.082,2122,correct,False
node_degree/14,node_degree,rwse,zero_shot,2.,gemma4-12b-think,gemma4-12b,True,2,True,1.0,1.0,0.0,False,ground_truth_file,,unaffected,False,0.616,3265,correct,False
node_degree/15,node_degree,degree,zero_shot,3.,gemma4-12b-think,gemma4-12b,True,3,True,1.0,1.0,0.0,False,ground_truth_file,,unaffected,False,1.0,1829,correct,False
node_degree/16,node_degree,all,zero_shot,4.,gemma4-12b-think,gemma4-12b,True,4,True,1.0,1.0,0.0,False,ground_truth_file,,unaffected,False,1.0,2831,correct,False
node_degree/17,node_degree,clustering,zero_shot,10.,gemma4-12b-think,gemma4-12b,True,10,True,1.0,1.0,0.0,False,ground_truth_file,,unaffected,False,0.082,8426,correct,False
node_degree/17,node_degree,none,zero_shot,10.,gemma4-12b-think,gemma4-12b,True,10,True,1.0,1.0,0.0,False,ground_truth_file,,unaffected,False,0.082,4747,correct,False
node_degree/18,node_degree,components,zero_shot,9.,gemma4-12b-think,gemma4-12b,True,9,True,1.0,1.0,0.0,False,ground_truth_file,,unaffected,False,0.082,3053,correct,False
node_degree/18,node_degree,rwse,zero_shot,9.,gemma4-12b-think,gemma4-12b,True,9,True,1.0,1.0,0.0,False,ground_truth_file,,unaffected,False,0.616,3323,correct,False
node_degree/19,node_degree,degree,zero_shot,4.,gemma4-12b-think,gemma4-12b,True,4,True,1.0,1.0,0.0,False,ground_truth_file,,unaffected,False,1.0,3101,correct,False
node_degree/20,node_degree,all,zero_shot,4.,gemma4-12b-think,gemma4-12b,True,4,True,1.0,1.0,0.0,False,ground_truth_file,,unaffected,False,1.0,2814,correct,False
node_degree/21,node_degree,clustering,zero_shot,11.,gemma4-12b-think,gemma4-12b,True,11,True,1.0,1.0,0.0,False,ground_truth_file,,unaffected,False,0.082,2476,correct,False
node_degree/21,node_degree,none,zero_shot,11.,gemma4-12b-think,gemma4-12b,True,11,True,1.0,1.0,0.0,False,ground_truth_file,,unaffected,False,0.082,3371,correct,False
node_degree/22,node_degree,components,zero_shot,2.,gemma4-12b-think,gemma4-12b,True,2,True,1.0,1.0,0.0,False,ground_truth_file,,unaffected,False,0.082,2399,correct,False
node_degree/22,node_degree,rwse,zero_shot,2.,gemma4-12b-think,gemma4-12b,True,2,True,1.0,1.0,0.0,False,ground_truth_file,,unaffected,False,0.616,10287,correct,False
node_degree/23,node_degree,degree,zero_shot,7.,gemma4-12b-think,gemma4-12b,True,7,True,1.0,1.0,0.0,False,ground_truth_file,,unaffected,False,1.0,4122,correct,False
node_degree/24,node_degree,all,zero_shot,8.,gemma4-12b-think,gemma4-12b,True,8,True,1.0,1.0,0.0,False,ground_truth_file,,unaffected,False,1.0,1352,correct,False
node_degree/25,node_degree,clustering,zero_shot,2.,gemma4-12b-think,gemma4-12b,True,2,True,1.0,1.0,0.0,False,ground_truth_file,,unaffected,False,0.082,1103,correct,False
node_degree/25,node_degree,none,zero_shot,2.,gemma4-12b-think,gemma4-12b,True,2,True,1.0,1.0,0.0,False,ground_truth_file,,unaffected,False,0.082,1036,correct,False
node_degree/26,node_degree,components,zero_shot,10.,gemma4-12b-think,gemma4-12b,True,10,True,1.0,1.0,0.0,False,ground_truth_file,,unaffected,False,0.082,3778,correct,False
node_degree/26,node_degree,rwse,zero_shot,10.,gemma4-12b-think,gemma4-12b,True,10,True,1.0,1.0,0.0,False,ground_truth_file,,unaffected,False,0.616,9372,correct,False
node_degree/27,node_degree,degree,zero_shot,5.,gemma4-12b-think,gemma4-12b,True,5,True,1.0,1.0,0.0,False,ground_truth_file,,unaffected,False,1.0,1288,correct,False
node_degree/28,node_degree,all,zero_shot,3.,gemma4-12b-think,gemma4-12b,True,3,True,1.0,1.0,0.0,False,ground_truth_file,,unaffected,False,1.0,2085,correct,False
node_degree/29,node_degree,clustering,zero_shot,3.,gemma4-12b-think,gemma4-12b,True,11,True,0.0,0.0,8.0,True,ground_truth_file,,unaffected,False,0.082,22850,non_terminating,False
node_degree/29,node_degree,none,zero_shot,3.,gemma4-12b-think,gemma4-12b,True,3,True,1.0,1.0,0.0,False,ground_truth_file,,unaffected,False,0.082,1743,correct,False
connected_nodes/0,connected_nodes,components,zero_shot,"0, 1, 2, 4, 5, 6, 10, 11, 12, 13, 15, 16, 17.",gemma4-12b-think,gemma4-12b,True,"0, 1, 2, 4, 5, 6, 10, 11, 12, 13, 15, 16, 17",True,1.0,1.0,,False,ground_truth_file,,unaffected,False,0.082,3535,correct,False
connected_nodes/0,connected_nodes,rwse,zero_shot,"0, 1, 2, 4, 5, 6, 10, 11, 12, 13, 15, 16, 17.",gemma4-12b-think,gemma4-12b,True,14,True,0.0,0.0,,True,ground_truth_file,,unaffected,False,0.082,12837,non_terminating,False
connected_nodes/1,connected_nodes,degree,zero_shot,0.,gemma4-12b-think,gemma4-12b,True,1,True,0.0,0.0,,False,ground_truth_file,,unaffected,True,0.208,10030,wrong,False
connected_nodes/2,connected_nodes,all,zero_shot, No nodes.,gemma4-12b-think,gemma4-12b,True,No nodes,True,1.0,1.0,,False,ground_truth_file,,unaffected,True,0.352,8165,correct,True
connected_nodes/3,connected_nodes,clustering,zero_shot,"2, 3, 4, 6, 8, 10.",gemma4-12b-think,gemma4-12b,True,"2, 3, 4, 6, 8, 10",True,1.0,1.0,,True,ground_truth_file,,unaffected,True,0.082,19193,non_terminating,False
connected_nodes/3,connected_nodes,none,zero_shot,"2, 3, 4, 6, 8, 10.",gemma4-12b-think,gemma4-12b,True,"2, 3, 4, 6, 8, 10",True,1.0,1.0,,False,ground_truth_file,,unaffected,False,0.082,976,correct,False
connected_nodes/4,connected_nodes,components,zero_shot,"1, 2, 5, 7.",gemma4-12b-think,gemma4-12b,True,"1, 2, 5, 7",True,1.0,1.0,,True,ground_truth_file,,unaffected,True,0.082,21422,non_terminating,True
connected_nodes/4,connected_nodes,rwse,zero_shot,"1, 2, 5, 7.",gemma4-12b-think,gemma4-12b,True,"0, 1",True,0.0,0.3333333333333333,,True,ground_truth_file,,unaffected,False,0.082,17478,non_terminating,False
connected_nodes/5,connected_nodes,degree,zero_shot,"0, 1, 4, 5, 6, 7, 8, 9, 10, 11, 13, 14, 15, 16.",gemma4-12b-think,gemma4-12b,True,14,True,0.0,0.13333333333333333,,True,ground_truth_file,,unaffected,False,0.208,13030,non_terminating,False
connected_nodes/6,connected_nodes,all,zero_shot,"0, 1, 11, 14, 15, 16.",gemma4-12b-think,gemma4-12b,True,"0, 1, 11, 14, 15, 16",True,1.0,1.0,,False,ground_truth_file,,unaffected,False,0.352,1931,correct,False
connected_nodes/7,connected_nodes,clustering,zero_shot,"0, 1, 2, 3, 4.",gemma4-12b-think,gemma4-12b,True,"0, 1, 2, 3, 4, 7",True,0.0,0.9090909090909091,,True,ground_truth_file,,unaffected,False,0.082,15418,non_terminating,False
connected_nodes/7,connected_nodes,none,zero_shot,"0, 1, 2, 3, 4.",gemma4-12b-think,gemma4-12b,True,"0, 1, 2, 3, 4",True,1.0,1.0,,True,ground_truth_file,,unaffected,False,0.082,16087,non_terminating,False
